"   ","GPMS_ID","REGION","COUNTRY"
"2849","301037","LATAM","PE"
"2850","500270","EMIA","TH"
"2851","303372","EMIA","RU"
"2852","A00367","EMIA","TR"
"2853","003520","LATAM","PE"
"2854","A00598","EMIA","KZ"
"2855","301481","ASIA","KR"
"2856","A00191","LATAM","PE"
"2857","A00395","EMIA","ID"
"2858","303449","EMIA","UA"
"2859","302504","EMIA","GE"
"2860","304244","EMIA","UA"
"2861","302504","EMIA","TJ"
"2862","A00434","EMIA","PH"
"2863","001369","EMIA","RU"
"2864","303377","EMIA","RU"
"2865","301668","EMIA","UA"
"2866","300878","EMIA","GE"
"2867","002866","LATAM","MX"
"2868","301963","EMIA","RU"
"2869","500197","EMIA","RU"
"2870","301189","EMIA","BY"
"2871","002584","LATAM","MX"
"2872","302339","EMIA","AM"
"2873","A00209","LATAM","CL"
"2874","A00069","EMIA","TH"
"2875","A00045","EMIA","UA"
"2876","301739","EMIA","BY"
"2877","300878","EMIA","MD"
"2878","301668","EMIA","RU"
"2879","500197","EMIA","TR"
"2880","301189","EMIA","VN"
"2881","303367","EMIA","RU"
"2882","302339","EMIA","TM"
"2883","301858","EMIA","BY"
"2884","302655","LATAM","PE"
"2885","A00069","EMIA","KW"
"2886","301456","EMIA","RU"
"2887","A00045","EMIA","TW"
"2888","303318","EMIA","RU"
"2889","301739","EMIA","RU"
"2890","A00286","EMIA","KZ"
"2891","301668","EMIA","TR"
"2892","301453","EMIA","KZ"
"2893","A00586","EMIA","DZ"
"2894","303374","EMIA","RU"
"2895","301189","EMIA","AZ"
"2896","004435","EMIA","ZA"
"2897","301066","EMIA","SG"
"2898","301033","LATAM","CL"
"2899","A00024","LATAM","PE"
"2900","302090","EMIA","HK"
"2901","302339","EMIA","GE"
"2902","302870","EMIA","RU"
"2903","305166","EMIA","UA"
"2904","A00045","EMIA","ZA"
"2905","003526","LATAM","PE"
"2906","A00200","EMIA","KW"
"2907","301739","EMIA","ZA"
"2908","A00069","EMIA","GE"
"2909","300878","EMIA","RU"
"2910","302982","EMIA","NG"
"2911","A00069","ASIA","KR"
"2912","A00045","EMIA","TR"
"2913","004811","EMIA","RU"
"2914","301529","EMIA","CN"
"2915","301453","EMIA","TW"
